"Geregistreerde criminaliteit; soort misdrijf, 1999-2007"
"";"Onderwerpen";"Misdrijven";"Per 100 000 inw. 12-79 jaar"
"";"Onderwerpen";"Totaal geregistreerd";"Misdrijven"
"";"Onderwerpen";"Totaal geregistreerd";"Totaal geregistreerd"
"Soort misdrijf";"Perioden";"aantal";"per 100 000 inwoners van 12-79 jaar"
"Wet op de economische delicten";"2001";"3595";"27"
"Wet op de economische delicten";"2002";"3610";"27"
"Wet op de economische delicten";"2003";"3985";"30"
"Wet op de economische delicten";"2004";"4195";"32"
"Wet op de economische delicten";"2005";"3974";"30"
"Wet op de economische delicten";"2006";"3210";"24"
"Wet op de economische delicten";"2007";"3150";"24"
"Milieuhygiënische wetten";"1999";"2886";"22"
"Milieuhygiënische wetten";"2000";"2809";"22"
"Milieuhygiënische wetten";"2001";"2923";"22"
"Milieuhygiënische wetten";"2002";"3079";"23"
"Milieuhygiënische wetten";"2003";"3268";"25"
"Milieuhygiënische wetten";"2004";"3506";"26"
"Milieuhygiënische wetten";"2005";"3127";"23"
"Milieuhygiënische wetten";"2006";"2634";"20"
"Milieuhygiënische wetten";"2007";"2592";"19"
"Overige misdr. Wet  op de econ. delicten";"1999";"823";"6"
"Overige misdr. Wet  op de econ. delicten";"2000";"719";"6"
"Overige misdr. Wet  op de econ. delicten";"2001";"672";"5"
"Overige misdr. Wet  op de econ. delicten";"2002";"531";"4"
"Overige misdr. Wet  op de econ. delicten";"2003";"717";"5"
"Overige misdr. Wet  op de econ. delicten";"2004";"689";"5"
"Overige misdr. Wet  op de econ. delicten";"2005";"847";"6"
"Overige misdr. Wet  op de econ. delicten";"2006";"576";"4"
"Overige misdr. Wet  op de econ. delicten";"2007";"558";"4"
"Opiumwet";"1999";"7613";"59"
"Opiumwet";"2000";"7474";"58"
"Opiumwet";"2001";"10380";"79"
"Opiumwet";"2002";"12752";"97"
"Opiumwet";"2003";"15633";"118"
"Opiumwet";"2004";"15662";"118"
"Opiumwet";"2005";"15305";"115"
"Opiumwet";"2006";"16361";"122"
"Opiumwet";"2007";"15657";"117"
"Wet Wapens en Munitie";"1999";"3432";"27"
"Wet Wapens en Munitie";"2000";"2966";"23"
"Wet Wapens en Munitie";"2001";"3508";"27"
"Wet Wapens en Munitie";"2002";"3941";"30"
"Wet Wapens en Munitie";"2003";"5913";"45"
"Wet Wapens en Munitie";"2004";"6124";"46"
"Wet Wapens en Munitie";"2005";"5804";"44"
"Wet Wapens en Munitie";"2006";"5476";"41"
"Wet Wapens en Munitie";"2007";"5532";"41"
"Wetboek van Militair Strafrecht";"1999";"230";"2"
"Wetboek van Militair Strafrecht";"2000";"95";"1"
"Wetboek van Militair Strafrecht";"2001";"116";"1"
"Wetboek van Militair Strafrecht";"2002";"148";"1"
"Wetboek van Militair Strafrecht";"2003";"218";"2"
"Wetboek van Militair Strafrecht";"2004";"24";"0"
"Wetboek van Militair Strafrecht";"2005";"22";"0"
"Wetboek van Militair Strafrecht";"2006";"91";"1"
"Wetboek van Militair Strafrecht";"2007";"91";"1"
"Overige wetten";"1999";"189";"1"
"Overige wetten";"2000";"84";"1"
"Overige wetten";"2001";"80";"1"
"Overige wetten";"2002";"347";"3"
"Overige wetten";"2003";"306";"2"
"Overige wetten";"2004";"210";"2"
"Overige wetten";"2005";"269";"2"
"Overige wetten";"2006";"244";"2"
"Overige wetten";"2007";"315";"2"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 24-9-2017"
